DUT S/N,28285D1AE364
DUT MAC,28285D1AE364
;;Test Name,CH,Dmod,Rate,Ants,Data,Unit,LimitLo,LimitHi,P/F,ReTest,UsedTime,Remark
Tx EVM,36.000000,802.11A ,OFDM54,1,-35.663600,dB,-9999,-25.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,1,0.81,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,1,3.44,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11A ,OFDM54,2,-37.601500,dB,-9999,-25.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,2,0.83,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,2,-0.15,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11A ,OFDM54,4,-37.301300,dB,-9999,-25.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,4,0.84,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,4,-1.69,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,4,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11N,MCS7,1,-35.691500,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11N,MCS7,1,0.84,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11N,MCS7,1,3.32,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11N,MCS7,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11N,MCS7,2,-36.927700,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11N,MCS7,2,0.83,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11N,MCS7,2,-0.59,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11N,MCS7,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11N,MCS7,4,-37.318800,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11N,MCS7,4,0.84,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11N,MCS7,4,-1.58,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11N,MCS7,4,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11AC 80M,MCS9,1,-30.642300,dB,-9999,-32.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11AC 80M,MCS9,1,0.88,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11AC 80M,MCS9,1,3.02,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11AC 80M,MCS9,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11AC 80M,MCS9,2,-33.331300,dB,-9999,-32.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11AC 80M,MCS9,2,0.84,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11AC 80M,MCS9,2,-0.99,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11AC 80M,MCS9,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11AC 80M,MCS9,4,-32.819900,dB,-9999,-32.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11AC 80M,MCS9,4,0.83,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11AC 80M,MCS9,4,-1.49,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11AC 80M,MCS9,4,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11AC 160M,MCS9,1,-25.305100,dB,-9999,-32.00,FAIL,0,?,Power = 0.00dBm
Tx Freq Error,36.000000,802.11AC 160M,MCS9,1,-25.31,ppm,-20,20,FAIL,0,?,Power = 0.00dBm
Tx Power,36.000000,802.11AC 160M,MCS9,1,-0.35,dBm,-2.50,2.5,PASS,0,?,Power = 0.00dBm
Tx Mask,36.000000,802.11AC 160M,MCS9,1,1.22,%,0,5,PASS,0,?,Power = 0.00dBm
Rx SEN,36,802.11A ,OFDM54,1.000000,0.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11A ,OFDM54,2.000000,0.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11A ,OFDM54,4.000000,0.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11N,MCS7,1.000000,0.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11N,MCS7,2.000000,1.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11N,MCS7,4.000000,6.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11AC 80M,MCS9,1.000000,0.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11AC 80M,MCS9,2.000000,9.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11AC 80M,MCS9,4.000000,34.00,%,0,10,FAIL,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11AC 80M,MCS9,1.000000,3.00,%,0,10,PASS,0,?,100 pkts @-40.000000dBm
