DUT S/N,28285D1AE364
DUT MAC,28285D1AE364
;;Test Name,CH,Dmod,Rate,Ants,Data,Unit,LimitLo,LimitHi,P/F,ReTest,UsedTime,Remark
Tx EVM,-517.600000,802.11B,CCA,1,22.371900,dB,-9999,-5.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,-517.600000,802.11B,CCA,1,-7.73,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,-517.600000,802.11B,CCA,1,-0.25,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,-517.600000,802.11B,CCA,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,-517.600000,802.11B,CCA,2,22.202900,dB,-9999,-5.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,-517.600000,802.11B,CCA,2,-7.86,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,-517.600000,802.11B,CCA,2,0.01,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,-517.600000,802.11B,CCA,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,-517.600000,802.11N,MCS7,1,-40.152300,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,-517.600000,802.11N,MCS7,1,-7.87,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,-517.600000,802.11N,MCS7,1,-0.10,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,-517.600000,802.11N,MCS7,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
