Standard ,Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth (Hz),Idle Interval (s),OFDM Data Rate (Mbps),OFDM Payload Length (bytes),MCS Index,Guard Interval (s),80211n PLCP Frame Format,FEC Coding Type,DSSS Data Rate (Mbps),DSSS Payload Length (bytes),#Packets,N_SS
3,2412000000,0,40000000,0.0001,,1024,4,0.0000008,0,0,,,0,
3,2442000000,0,40000000,0.0001,,1024,4,0.0000008,0,0,,,0,
3,2472000000,0,20000000,0.0001,,1024,4,0.0000008,0,0,,,0,
3,5180000000,0,20000000,0.0001,,1024,4,0.0000008,0,0,,,0,
3,5500000000,0,20000000,0.0001,,1024,4,0.0000008,0,0,,,0,
3,5700000000,0,20000000,0.0001,,1024,4,0.0000008,0,0,,,0,
3,2412000000,0,20000000,0.0001,,1024,7,0.0000008,0,0,,,0,
3,2442000000,0,20000000,0.0001,,1024,7,0.0000008,0,0,,,0,
3,2472000000,0,20000000,0.0001,,1024,7,0.0000008,0,0,,,0,
3,5180000000,0,20000000,0.0001,,1024,7,0.0000008,0,0,,,0,
3,5500000000,0,20000000,0.0001,,1024,7,0.0000008,0,0,,,0,
3,5700000000,0,20000000,0.0001,,1024,7,0.0000008,0,0,,,0,
