Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,11.173000,0.000000,0.000000,19.070000,19.660000,9.620000,10.380000,0.000000,11.510000,10.910000,20.650000,18.950000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,18.890000,19.890000,9.670000,9.830000,0.000000,9.640000,9.610000,20.810000,19.930000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,18.540000,18.860000,9.300000,9.250000,0.000000,10.740000,10.260000,20.120000,19.760000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,13.000000,9.710000,5.570000,8.290000,0.000000,7.870000,6.450000,11.220000,12.160000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,1.280000,-1.290000,5.410000,2.010000,-1.290000,2.400000,0.000000,7.780000,2.070000,3.470000,10.790000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,2.380000,-1.790000,7.450000,1.170000,-1.790000,1.880000,0.000000,5.350000,-0.810000,1.730000,9.640000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.083000,0.020000,0.000000,0.000000,19.950000,20.240000,10.600000,10.650000,0.000000,11.800000,10.620000,21.160000,20.180000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.083000,0.021000,0.000000,0.000000,18.870000,19.110000,10.710000,11.380000,0.000000,12.100000,11.480000,20.150000,20.340000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,19.610000,19.080000,11.600000,12.080000,0.000000,12.160000,11.080000,20.640000,20.770000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,12.670000,9.500000,4.920000,7.660000,0.000000,10.540000,6.600000,10.380000,12.380000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,8.440000,5.640000,0.090000,6.500000,0.000000,8.580000,3.930000,6.860000,11.970000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.021000,0.430000,-1.280000,7.000000,2.160000,-1.280000,4.730000,0.000000,4.340000,-0.240000,4.150000,9.610000
