Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,4,Mixedmode,0.321000,0.091000,-32.180000,8.630000,9.800000,0.390000,0.330000,0.560000,3.740000,3.070000,-38.540000,0.030000,-0.060000,0.410000,3.610000,3.640000,-20.000000
2442000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.101000,-32.440000,8.600000,10.150000,0.550000,0.230000,0.770000,3.730000,4.410000,-33.590000,0.030000,-0.310000,0.450000,3.570000,3.640000,-20.000000
2472000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.101000,-32.640000,8.120000,9.600000,0.280000,0.180000,0.350000,3.740000,5.000000,-33.150000,0.040000,-0.200000,0.470000,3.580000,3.560000,-16.000000
5180000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.103000,-25.950000,8.080000,9.780000,-0.210000,-0.290000,-0.090000,3.750000,-1.470000,-42.040000,-0.030000,-0.110000,1.320000,3.600000,3.580000,10.000000
5500000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.101000,-20.420000,7.200000,8.120000,0.100000,0.010000,0.200000,4.020000,-1.980000,-37.470000,-0.010000,-0.300000,1.420000,3.390000,3.380000,14.000000
5700000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.102000,-19.640000,6.380000,7.350000,0.050000,-0.010000,0.170000,3.830000,-3.150000,-35.590000,0.060000,-0.260000,1.430000,3.250000,3.220000,14.000000
2412000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.102000,-32.120000,8.080000,10.550000,0.370000,0.280000,0.470000,3.770000,2.970000,-38.550000,0.020000,-0.110000,0.390000,3.620000,3.640000,-21.000000
2442000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.100000,-32.700000,8.810000,10.480000,0.630000,0.550000,0.710000,3.650000,5.120000,-32.690000,0.040000,0.010000,0.470000,3.570000,3.620000,-16.000000
2472000000.000000,0.000000,20000000.000000,7,Mixedmode,0.081000,0.101000,-32.330000,8.140000,9.840000,0.220000,0.150000,0.280000,3.800000,5.100000,-33.250000,0.030000,-0.380000,0.450000,3.580000,3.590000,-16.000000
5180000000.000000,0.000000,20000000.000000,7,Mixedmode,0.201000,0.102000,-24.990000,8.340000,8.900000,-0.230000,-0.330000,-0.110000,3.620000,4.660000,-51.260000,-0.010000,-0.150000,1.410000,3.540000,3.430000,4.000000
5500000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.101000,-20.510000,7.310000,7.870000,0.090000,0.030000,0.210000,3.910000,-1.670000,-37.970000,-0.020000,-0.180000,1.580000,3.380000,3.450000,14.000000
5700000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.102000,-20.030000,6.630000,7.540000,0.090000,0.040000,0.190000,3.800000,1.150000,-35.480000,0.030000,-0.310000,1.570000,3.260000,3.210000,27.000000
