Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.140000,-33.180000,8.440000,10.600000,0.710000,0.640000,0.760000,-69.770000,-71.540000,-40.490000,0.030000,-0.140000,0.390000,3.680000,3.620000,-14.000000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.146000,-33.150000,9.010000,10.600000,0.610000,0.550000,0.650000,-69.790000,-69.100000,-42.700000,-0.050000,0.110000,0.380000,3.640000,3.590000,-14.000000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.147000,-33.430000,8.610000,10.090000,0.610000,0.510000,1.070000,-69.770000,-69.720000,-41.690000,0.040000,-0.160000,0.390000,3.620000,3.630000,-18.000000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.081000,0.147000,-27.420000,7.720000,9.830000,-0.420000,-0.610000,-0.030000,-69.840000,-72.830000,-45.630000,0.150000,0.220000,1.030000,3.640000,3.620000,10.000000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.145000,-23.330000,7.690000,9.110000,0.420000,0.340000,0.490000,-69.620000,-76.010000,-43.620000,0.020000,0.550000,1.260000,3.460000,3.490000,1.000000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.144000,-24.040000,7.040000,8.880000,0.060000,-0.050000,0.160000,-69.780000,-71.490000,-41.730000,0.160000,-0.200000,0.990000,3.620000,3.560000,3.000000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.144000,-33.340000,9.200000,12.100000,1.090000,1.020000,1.160000,-69.770000,-71.070000,-39.320000,0.010000,-0.040000,0.350000,3.680000,3.680000,-21.000000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.083000,0.144000,-33.100000,8.290000,10.490000,0.720000,0.420000,1.010000,-69.770000,-70.820000,-40.350000,-0.040000,-0.020000,0.330000,3.620000,3.650000,-19.000000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.142000,-33.160000,8.530000,10.280000,0.930000,0.500000,1.100000,-69.760000,-73.320000,-41.860000,0.000000,-0.170000,0.390000,3.620000,3.610000,-18.000000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.147000,-27.250000,7.310000,9.750000,-0.390000,-0.760000,-0.010000,-69.810000,-69.340000,-44.970000,0.150000,0.180000,1.050000,3.620000,3.660000,-3.000000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.141000,-22.660000,7.270000,10.010000,0.540000,0.300000,1.000000,-69.580000,-76.940000,-44.380000,-0.020000,0.500000,1.240000,3.470000,3.450000,-12.000000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.150000,-24.180000,7.220000,8.910000,0.020000,-0.110000,0.130000,-69.770000,-70.020000,-42.520000,0.110000,-0.230000,1.070000,3.620000,3.620000,2.000000
