Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,15.780000,16.460000,8.150000,7.230000,0.000000,11.370000,11.200000,16.800000,15.760000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,14.100000,14.940000,8.100000,6.920000,0.000000,11.670000,11.220000,16.450000,15.340000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,14.230000,14.630000,7.250000,6.930000,0.000000,10.170000,10.040000,16.260000,16.000000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.017000,0.000000,0.000000,8.010000,7.020000,6.670000,3.400000,0.000000,10.810000,7.220000,8.010000,7.140000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.022000,0.240000,-0.320000,1.730000,1.030000,-0.320000,2.520000,0.000000,9.980000,2.870000,4.660000,6.830000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.083000,0.020000,0.000000,0.000000,5.240000,0.990000,0.190000,3.170000,0.000000,9.620000,2.440000,3.670000,8.630000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.019000,0.000000,0.000000,14.710000,15.820000,8.930000,7.360000,0.000000,10.190000,9.680000,15.710000,15.300000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,13.570000,14.840000,9.130000,6.500000,0.000000,10.420000,10.200000,14.520000,14.900000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,13.220000,13.440000,7.680000,7.120000,0.000000,9.720000,9.180000,14.850000,15.130000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.000000,0.000000,8.150000,8.480000,6.850000,3.050000,0.000000,10.000000,7.720000,8.790000,8.330000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,1.160000,-1.100000,2.390000,0.980000,-1.100000,1.680000,0.000000,8.090000,2.580000,3.340000,5.680000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.083000,0.020000,0.000000,0.000000,5.920000,2.430000,0.560000,2.380000,0.000000,9.530000,2.820000,4.040000,7.900000
