Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,4.000000,20000000.000000,0,Mixedmode,0.048000,0.022000,-40.730000,6.850000,7.260000,-3.480000,-3.600000,-3.270000,-10.200000,-9.530000,-35.430000,-0.040000,-0.140000,0.200000,1.190000,1.190000,26.000000
2412000000.000000,6.000000,20000000.000000,0,Mixedmode,0.049000,0.027000,-39.720000,6.370000,7.200000,-3.250000,-3.250000,-3.240000,-10.140000,-11.450000,-43.470000,-0.080000,-0.120000,0.250000,1.150000,1.150000,26.000000
2412000000.000000,8.000000,20000000.000000,0,Mixedmode,0.049000,0.023000,-39.360000,8.870000,9.530000,-0.990000,-1.020000,-0.980000,-10.200000,-9.740000,-36.790000,-0.020000,-0.210000,0.290000,1.140000,1.150000,26.000000
2412000000.000000,10.000000,20000000.000000,0,Mixedmode,0.048000,0.027000,-39.570000,11.410000,11.630000,0.900000,0.890000,0.910000,-10.160000,-10.040000,-38.130000,-0.030000,-0.030000,0.270000,1.130000,1.110000,26.000000
2412000000.000000,12.000000,20000000.000000,0,Mixedmode,0.049000,0.026000,-36.460000,12.900000,13.450000,2.720000,2.720000,2.720000,-10.240000,-13.800000,-51.390000,0.020000,-0.040000,0.300000,1.180000,1.160000,27.000000
2412000000.000000,14.000000,20000000.000000,0,Mixedmode,0.048000,0.028000,-36.900000,13.980000,14.550000,4.450000,4.430000,4.460000,-10.170000,-9.240000,-40.630000,-0.040000,-0.010000,0.310000,1.140000,1.170000,26.000000
2412000000.000000,16.000000,20000000.000000,0,Mixedmode,0.049000,0.026000,-37.040000,14.800000,15.330000,6.210000,6.210000,6.210000,-10.170000,-10.790000,-40.690000,-0.040000,-0.120000,0.300000,1.170000,1.180000,27.000000
2412000000.000000,18.000000,20000000.000000,0,Mixedmode,0.049000,0.022000,-28.750000,15.660000,15.840000,8.210000,8.180000,8.250000,-10.260000,-9.990000,-34.910000,-0.020000,-0.130000,0.350000,1.130000,1.160000,27.000000
2412000000.000000,19.000000,20000000.000000,0,Mixedmode,0.049000,0.023000,-26.360000,15.780000,15.980000,9.310000,9.300000,9.310000,-10.200000,-9.090000,-47.080000,-0.050000,-0.080000,0.380000,1.180000,1.150000,26.000000
2417000000.000000,4.000000,20000000.000000,0,Mixedmode,0.050000,0.027000,-40.380000,5.950000,6.610000,-3.910000,-4.010000,-3.720000,-10.130000,-9.840000,-43.670000,-0.050000,-0.220000,0.200000,1.230000,1.200000,26.000000
