Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time(s),IQ demod Meas Time(s),RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000,4,20000000,6Mbps,OFDM,0.033,0.03,-41.39,11.11,12.75,3.05,3.01,3.09,-9.97,-9.91,-42.06,-0.01,-0.26,0.19,1.19,1.18,26
2412000000,6,20000000,6Mbps,OFDM,0.004,0.018,-41.06,14.3,15.84,5.61,5.54,5.65,-9.92,-9.92,-40.95,-0.01,-0.22,0.23,1.18,1.2,26
2412000000,8,20000000,6Mbps,OFDM,0.003,0.018,-41.01,15.99,18.65,7.77,7.77,7.77,-9.97,-10.47,-39.22,-0.02,-0.11,0.19,1.19,1.2,26
2412000000,10,20000000,6Mbps,OFDM,0.003,0.018,-39.84,17.45,20.66,9.67,9.67,9.68,-9.93,-10.87,-40.25,-0.01,-0.11,0.32,1.17,1.17,26
2412000000,12,20000000,6Mbps,OFDM,0.003,0.018,-38.21,19.24,22.03,11.48,11.47,11.51,-9.95,-9.4,-36.36,-0.03,0.04,0.32,1.19,1.19,26
2412000000,14,20000000,6Mbps,OFDM,0.004,0.019,-37.75,21.71,23.04,13.31,13.18,13.38,-9.89,-11.78,-36.36,-0.02,0.02,0.32,1.19,1.19,26
2412000000,16,20000000,6Mbps,OFDM,0.003,0.017,-38.36,22.97,23.21,14.66,14.48,14.79,-9.97,-10.72,-33.87,-0.02,0.01,0.3,1.19,1.21,26
2412000000,18,20000000,6Mbps,OFDM,0.003,0.017,-37.77,22.15,23.5,14.64,14.41,14.77,-9.94,-11.21,-38.95,-0.02,0.05,0.36,1.17,1.16,26
2412000000,19,20000000,6Mbps,OFDM,0.003,0.017,-37.75,22.59,23.56,14.55,14.41,14.81,-10,-8.87,-37.12,-0.01,0.03,0.3,1.17,1.15,26
2417000000,4,20000000,6Mbps,OFDM,0.03,0.02,-42.08,11.05,12.55,3.36,3.32,3.39,-9.94,-10.23,-37.84,-0.01,-0.24,0.24,1.24,1.22,26
