Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,1.000000,20000000.000000,6Mbps,OFDM,0.302000,0.043000,-36.400000,9.240000,10.130000,0.950000,0.920000,0.970000,-1.960000,-2.230000,-33.210000,-0.020000,0.050000,0.350000,1.720000,1.730000,-20.000000
2412000000.000000,2.000000,20000000.000000,6Mbps,OFDM,0.304000,0.041000,-36.020000,9.590000,10.870000,1.920000,1.890000,1.930000,-2.040000,-1.890000,-35.010000,-0.010000,0.170000,0.390000,1.670000,1.670000,-17.000000
2412000000.000000,4.000000,20000000.000000,6Mbps,OFDM,0.302000,0.042000,-35.910000,11.930000,13.380000,3.900000,3.860000,3.920000,-1.890000,-2.800000,-38.030000,0.010000,0.030000,0.380000,1.710000,1.720000,-16.000000
2412000000.000000,6.000000,20000000.000000,6Mbps,OFDM,0.303000,0.040000,-35.400000,14.500000,15.430000,5.870000,5.840000,5.880000,-1.890000,-0.660000,-44.620000,0.010000,-0.040000,0.310000,1.680000,1.680000,-14.000000
2412000000.000000,8.000000,20000000.000000,6Mbps,OFDM,0.303000,0.039000,-35.190000,16.450000,16.780000,7.610000,7.570000,7.660000,-1.940000,-1.660000,-37.610000,0.000000,0.250000,0.360000,1.720000,1.700000,-14.000000
2412000000.000000,10.000000,20000000.000000,6Mbps,OFDM,0.302000,0.037000,-32.970000,17.660000,18.310000,10.190000,10.170000,10.210000,-1.880000,-2.320000,-35.560000,-0.020000,0.140000,0.420000,1.730000,1.740000,-16.000000
2412000000.000000,12.000000,20000000.000000,6Mbps,OFDM,0.302000,0.041000,-30.440000,18.570000,20.880000,11.730000,11.550000,12.050000,-1.820000,-1.070000,-38.800000,0.020000,0.030000,0.450000,1.720000,1.750000,-14.000000
2412000000.000000,14.000000,20000000.000000,6Mbps,OFDM,0.302000,0.039000,-26.220000,21.230000,21.460000,14.140000,14.110000,14.180000,-1.910000,4.380000,-41.160000,-0.010000,0.270000,0.640000,1.700000,1.720000,-4.000000
2412000000.000000,16.000000,20000000.000000,6Mbps,OFDM,7.303000,0.038000,-23.470000,22.170000,22.860000,15.930000,15.930000,15.940000,-1.930000,-5.600000,-43.290000,0.020000,-0.110000,1.060000,1.610000,1.580000,-4.000000
2432000000.000000,1.000000,20000000.000000,6Mbps,OFDM,0.302000,0.039000,-35.260000,10.040000,11.490000,1.750000,1.740000,1.780000,-1.670000,-4.050000,-38.810000,-0.080000,-0.160000,0.310000,1.680000,1.710000,-15.000000
2432000000.000000,2.000000,20000000.000000,6Mbps,OFDM,0.303000,0.039000,-35.100000,10.260000,12.460000,2.740000,2.710000,2.770000,-1.630000,-2.920000,-40.890000,-0.060000,-0.180000,0.420000,1.690000,1.730000,-19.000000
2432000000.000000,4.000000,20000000.000000,6Mbps,OFDM,0.303000,0.040000,-34.600000,12.290000,14.060000,4.680000,4.670000,4.700000,-1.640000,-1.080000,-41.670000,-0.070000,-0.100000,0.460000,1.690000,1.720000,-17.000000
2432000000.000000,6.000000,20000000.000000,6Mbps,OFDM,0.302000,0.042000,-35.050000,14.740000,14.960000,6.380000,6.370000,6.400000,-1.640000,-2.690000,-39.790000,-0.050000,0.000000,0.350000,1.710000,1.710000,-14.000000
2432000000.000000,8.000000,20000000.000000,6Mbps,OFDM,0.302000,0.041000,-34.500000,16.680000,17.170000,8.300000,8.270000,8.350000,-1.590000,-1.210000,-39.320000,-0.060000,-0.010000,0.420000,1.680000,1.670000,-17.000000
2432000000.000000,10.000000,20000000.000000,6Mbps,OFDM,0.302000,0.041000,-32.340000,17.790000,19.280000,10.420000,10.410000,10.420000,-1.690000,-2.050000,-35.010000,-0.070000,-0.130000,0.460000,1.670000,1.660000,-14.000000
2432000000.000000,12.000000,20000000.000000,6Mbps,OFDM,0.302000,0.041000,-30.250000,19.820000,20.880000,12.520000,12.250000,13.000000,-1.570000,-1.660000,-38.100000,-0.080000,-0.190000,0.430000,1.690000,1.670000,-4.000000
