Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,1.000000,20000000.000000,6Mbps,OFDM,0.302000,0.016000,0.000000,0.000000,14.410000,15.790000,11.740000,11.530000,0.000000,11.630000,10.750000,15.820000,14.940000
2412000000.000000,2.000000,20000000.000000,6Mbps,OFDM,0.304000,0.015000,0.000000,0.000000,15.150000,15.750000,10.030000,9.890000,0.000000,10.070000,9.830000,15.150000,15.780000
2412000000.000000,4.000000,20000000.000000,6Mbps,OFDM,0.302000,0.014000,0.000000,0.000000,17.000000,18.210000,9.430000,9.350000,0.000000,10.810000,10.650000,18.390000,18.240000
2412000000.000000,6.000000,20000000.000000,6Mbps,OFDM,0.303000,0.016000,0.000000,0.000000,18.480000,18.990000,9.750000,9.760000,0.000000,10.560000,10.670000,18.930000,17.890000
2412000000.000000,8.000000,20000000.000000,6Mbps,OFDM,0.303000,0.016000,0.000000,0.000000,16.800000,18.110000,11.620000,11.290000,0.000000,10.850000,10.600000,18.340000,17.930000
2412000000.000000,10.000000,20000000.000000,6Mbps,OFDM,0.302000,0.015000,0.000000,0.000000,15.000000,14.640000,9.080000,8.950000,0.000000,9.830000,9.390000,15.460000,15.470000
2412000000.000000,12.000000,20000000.000000,6Mbps,OFDM,0.302000,0.016000,0.000000,0.000000,16.960000,16.260000,9.640000,9.640000,0.000000,8.970000,8.570000,17.010000,17.530000
2412000000.000000,14.000000,20000000.000000,6Mbps,OFDM,0.302000,0.015000,0.000000,0.000000,16.470000,13.020000,7.870000,7.820000,0.000000,6.810000,6.620000,13.390000,16.080000
2412000000.000000,16.000000,20000000.000000,6Mbps,OFDM,7.303000,0.016000,0.000000,0.000000,15.230000,9.240000,6.320000,6.770000,0.000000,7.640000,4.770000,8.240000,14.460000
2432000000.000000,1.000000,20000000.000000,6Mbps,OFDM,0.302000,0.015000,0.000000,0.000000,15.300000,16.110000,9.290000,8.740000,0.000000,11.140000,10.200000,17.460000,14.070000
2432000000.000000,2.000000,20000000.000000,6Mbps,OFDM,0.303000,0.016000,0.000000,0.000000,16.460000,16.870000,9.680000,9.210000,0.000000,9.160000,8.440000,18.120000,13.970000
2432000000.000000,4.000000,20000000.000000,6Mbps,OFDM,0.303000,0.016000,0.000000,0.000000,17.970000,17.770000,9.440000,8.890000,0.000000,10.670000,9.970000,19.130000,15.440000
2432000000.000000,6.000000,20000000.000000,6Mbps,OFDM,0.302000,0.015000,0.000000,0.000000,15.630000,16.770000,10.830000,10.570000,0.000000,10.700000,10.490000,17.240000,13.960000
2432000000.000000,8.000000,20000000.000000,6Mbps,OFDM,0.302000,0.016000,0.000000,0.000000,17.480000,18.190000,11.380000,11.050000,0.000000,11.550000,11.250000,19.080000,16.290000
