Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(-33MHz  -  -22MHz) ,SMM(-22MHz  -  -11MHz) ,SMM(-11MHz  -  11MHz) ,SMM(11MHz  -  22MHz) ,SMM(22MHz  -  33MHz) 
2412000000.000000,1.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.021000,0.000000,0.000000,11.620000,11.680000,0.000000,12.780000,11.960000
2412000000.000000,2.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.019000,0.000000,0.000000,12.520000,10.360000,0.000000,11.470000,12.910000
2412000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.019000,0.000000,0.000000,8.790000,23.610000,0.000000,23.450000,8.520000
2412000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.019000,0.000000,0.000000,10.910000,24.280000,0.000000,26.010000,10.490000
2412000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.304000,0.015000,0.000000,0.000000,12.240000,21.540000,0.000000,23.080000,11.750000
2412000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,10.870000,19.380000,0.000000,19.920000,9.260000
2412000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.015000,0.000000,0.000000,11.340000,17.270000,0.000000,17.770000,12.030000
2412000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.019000,0.000000,0.000000,10.110000,12.980000,0.000000,12.810000,9.690000
2412000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,7.303000,0.016000,0.000000,0.000000,10.750000,10.130000,0.000000,9.240000,11.070000
2432000000.000000,1.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,12.820000,9.840000,0.000000,11.010000,12.430000
2432000000.000000,2.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,8.040000,25.260000,0.000000,25.720000,8.820000
2432000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.019000,0.000000,0.000000,9.480000,24.660000,0.000000,25.040000,9.290000
2432000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.019000,0.000000,0.000000,11.450000,20.300000,0.000000,24.260000,12.140000
2432000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.019000,0.000000,0.000000,12.960000,17.850000,0.000000,21.620000,12.980000
2432000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.019000,0.000000,0.000000,11.340000,19.010000,0.000000,20.130000,11.360000
2432000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.018000,0.000000,0.000000,9.290000,15.600000,0.000000,15.530000,8.070000
2432000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,11.180000,12.470000,0.000000,12.420000,10.640000
2432000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,7.302000,0.016000,0.000000,0.000000,9.270000,8.740000,0.000000,8.270000,10.960000
2412000000.000000,1.000000,20000000.000000,11CCK,DSSS/CCK,0.303000,0.015000,0.000000,0.000000,11.780000,11.750000,0.000000,13.040000,12.510000
