Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,1.000000,20000000.000000,MCS 0,Mixedmode,0.303000,0.016000,0.000000,0.000000,10.120000,11.080000,8.090000,7.940000,0.000000,8.300000,8.390000,11.910000,10.560000
2412000000.000000,2.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.015000,0.000000,0.000000,10.830000,10.790000,8.470000,8.020000,0.000000,9.120000,8.390000,12.370000,11.660000
2412000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.303000,0.015000,0.000000,0.000000,11.880000,12.910000,8.150000,7.890000,0.000000,9.180000,8.830000,13.000000,12.180000
2412000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.303000,0.026000,0.000000,0.000000,13.440000,14.070000,8.670000,8.020000,0.000000,8.000000,7.620000,14.520000,13.270000
2412000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.015000,0.000000,0.000000,11.200000,12.310000,7.810000,7.520000,0.000000,8.570000,8.300000,14.070000,12.400000
2412000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.014000,0.000000,0.000000,10.020000,10.210000,7.220000,7.200000,0.000000,8.220000,8.140000,10.780000,10.800000
2412000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.015000,0.000000,0.000000,10.680000,12.390000,8.250000,8.060000,0.000000,8.280000,7.790000,12.900000,11.730000
2412000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.304000,0.015000,0.000000,0.000000,11.100000,10.490000,6.390000,6.800000,0.000000,8.520000,6.630000,8.920000,11.320000
2412000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,7.303000,0.016000,0.000000,0.000000,9.290000,7.400000,5.090000,5.600000,0.000000,5.730000,3.520000,5.730000,8.280000
2432000000.000000,1.000000,20000000.000000,MCS 0,Mixedmode,0.303000,0.015000,0.000000,0.000000,9.740000,10.210000,8.180000,7.580000,0.000000,9.050000,7.830000,12.260000,8.430000
2432000000.000000,2.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.015000,0.000000,0.000000,10.890000,12.200000,8.000000,7.520000,0.000000,8.960000,8.970000,12.910000,9.610000
2432000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.014000,0.000000,0.000000,12.900000,13.740000,7.310000,6.710000,0.000000,8.490000,7.960000,14.370000,11.390000
2432000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.014000,0.000000,0.000000,10.720000,11.950000,9.250000,8.890000,0.000000,9.050000,8.330000,12.380000,8.880000
2432000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.014000,0.000000,0.000000,12.400000,13.080000,8.170000,7.740000,0.000000,9.060000,8.310000,14.260000,10.330000
2432000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.303000,0.015000,0.000000,0.000000,9.960000,10.370000,8.330000,8.250000,0.000000,9.120000,8.120000,11.800000,7.790000
2432000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.301000,0.015000,0.000000,0.000000,10.680000,11.720000,6.990000,7.720000,0.000000,8.510000,7.610000,11.770000,9.230000
2432000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.302000,0.015000,0.000000,0.000000,10.850000,9.720000,6.320000,7.030000,0.000000,7.530000,6.550000,8.950000,11.440000
2432000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,7.303000,0.016000,0.000000,0.000000,8.220000,6.950000,5.490000,6.870000,0.000000,4.430000,3.870000,5.740000,7.190000
2412000000.000000,1.000000,20000000.000000,MCS 7,Mixedmode,0.303000,0.014000,0.000000,0.000000,9.070000,9.710000,9.080000,8.400000,0.000000,10.470000,9.330000,11.170000,10.860000
2412000000.000000,2.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.014000,0.000000,0.000000,9.790000,11.050000,8.860000,8.220000,0.000000,10.290000,9.810000,11.410000,11.110000
2412000000.000000,4.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.014000,0.000000,0.000000,12.320000,11.360000,8.100000,7.900000,0.000000,9.370000,8.470000,13.470000,11.510000
2412000000.000000,6.000000,20000000.000000,MCS 7,Mixedmode,0.303000,0.015000,0.000000,0.000000,12.750000,13.340000,8.230000,7.900000,0.000000,9.250000,8.410000,14.120000,13.740000
2412000000.000000,8.000000,20000000.000000,MCS 7,Mixedmode,0.301000,0.015000,0.000000,0.000000,12.960000,13.520000,9.400000,8.850000,0.000000,9.310000,8.530000,13.850000,12.640000
2412000000.000000,10.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.016000,0.000000,0.000000,9.360000,11.000000,8.360000,8.140000,0.000000,10.930000,9.870000,10.360000,10.420000
2412000000.000000,12.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.016000,0.000000,0.000000,11.350000,12.000000,8.690000,7.770000,0.000000,10.450000,8.280000,12.980000,11.530000
2412000000.000000,14.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.015000,0.000000,0.000000,10.940000,11.930000,7.840000,7.130000,0.000000,8.470000,8.050000,11.560000,11.800000
2412000000.000000,16.000000,20000000.000000,MCS 7,Mixedmode,7.302000,0.015000,0.000000,0.000000,10.340000,8.980000,6.800000,7.340000,0.000000,7.550000,5.700000,7.370000,9.650000
2432000000.000000,1.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.015000,0.000000,0.000000,9.510000,10.530000,9.690000,9.570000,0.000000,10.170000,9.530000,12.170000,9.780000
2432000000.000000,2.000000,20000000.000000,MCS 7,Mixedmode,0.303000,0.015000,0.000000,0.000000,11.370000,12.110000,9.490000,9.580000,0.000000,10.130000,9.580000,12.580000,10.580000
2432000000.000000,4.000000,20000000.000000,MCS 7,Mixedmode,0.304000,0.016000,0.000000,0.000000,12.510000,13.450000,8.440000,8.040000,0.000000,10.800000,9.450000,13.800000,12.430000
2432000000.000000,6.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.015000,0.000000,0.000000,10.900000,11.450000,8.370000,8.060000,0.000000,10.810000,9.230000,12.630000,9.510000
2432000000.000000,8.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.015000,0.000000,0.000000,12.400000,13.350000,8.930000,8.570000,0.000000,11.000000,10.420000,13.670000,9.830000
2432000000.000000,10.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.014000,0.000000,0.000000,10.360000,11.140000,7.000000,6.580000,0.000000,8.710000,8.640000,11.940000,8.420000
2432000000.000000,12.000000,20000000.000000,MCS 7,Mixedmode,0.302000,0.014000,0.000000,0.000000,11.030000,10.650000,8.860000,8.320000,0.000000,9.050000,8.470000,12.380000,9.300000
2432000000.000000,14.000000,20000000.000000,MCS 7,Mixedmode,0.303000,0.014000,0.000000,0.000000,10.800000,11.390000,7.910000,7.720000,0.000000,9.020000,7.130000,10.820000,11.840000
2432000000.000000,16.000000,20000000.000000,MCS 7,Mixedmode,7.303000,0.016000,0.000000,0.000000,9.060000,7.580000,6.070000,6.580000,0.000000,7.690000,5.100000,7.180000,8.590000
5190000000.000000,1.000000,40000000.000000,MCS 7,Mixedmode,0.302000,0.051000,0.000000,0.000000,9.760000,12.010000,12.820000,0.000000,10.700000,10.300000,6.500000
