Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2412000000.000000,20000000.000000,54Mbps,OFDM,634,-65.000000,100,98,2.000000,0.002683
802.11 N MIMOOFDM,2412000000.000000,20000000.000000,MCS7,Mixed Format,734,-50.000000,100,100,0.000000,0.002683
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-65.000000,100,100,0.000000,0.056300
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-66.000000,100,97,3.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-67.000000,100,60,40.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-68.000000,100,96,4.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-69.000000,100,96,4.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-70.000000,100,96,4.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-71.000000,100,52,48.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-72.000000,100,58,42.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-73.000000,100,99,1.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-74.000000,100,88,12.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-75.000000,100,83,17.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-76.000000,100,49,51.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-77.000000,100,21,79.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-78.000000,100,0,100.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-79.000000,100,0,100.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-80.000000,100,0,100.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-81.000000,100,0,100.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-82.000000,100,0,100.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-83.000000,100,0,100.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-84.000000,100,0,100.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-85.000000,100,0,100.000000,
